index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
16.1	समुद्धर्ता	21	समुद्धर्ता	समुद्धर्तृ{पुं;1;एक}/सम्_उद्_धृ1{कर्तरि;लुट्;प्र;एक;उभयपदी;धृञ्;भ्वादिः}/सम्_उद्_धृ1{कर्मणि;लुट्;प्र;एक;आत्मनेपदी;धृञ्;भ्वादिः}	समुद्धर्तृ{पुं;1;एक}	विधेय_विशेषणम्,15.1	विधेय_विशेषणम्,15.1	N1	उद्धार_करनेवाला	deliverer	-	-
17.1	मृत्यु-	20	मृत्युसंसारसागरात्	मृत्यु	मृत्यु	कर्मधारयः,17.2	कर्मधारयः,17.2	CP	मृत्युरूप_संसारसमुद्र_से	from_the_ocean_of_death_and_material_existence	<<मृत्यु-संसार>Km-सागरात्>K6	-
17.2	संसार-	-		संसार	संसार	कर्मधारयः,17.3	कर्मधारयः,17.3	CP				-
17.3	सागरात्	-		सागर{पुं;5;एक}	सागर{पुं;5;एक}	अपादानम्,16.1	अपादानम्,16.1	N5				-
18.1	भवामि	22	भवामि	भू1{कर्तरि;लट्;उ;एक;परस्मैपदी;भू;भ्वादिः}	भू1{कर्तरि;लट्;उ;एक;परस्मैपदी;भू;भ्वादिः}	अभिहित_कर्ता,15.1;अकर्मकः.1	अभिहित_कर्ता,15.1;अकर्मकः.1	KP	होता_हूँ	become	-	-
19.1	नचिरात्	19	नचिरात्पार्थ	नचिर{नपुं;5;एक}/नचिरात्{अव्य}	नचिरात्{अव्य}	क्रियाविशेषणम्,18.1	क्रियाविशेषणम्,18.1	NA	शीघ्र_ही	not_a_long_time	-	-
20.1	पार्थ	14		पार्थ{पुं;8;एक}	पार्थ{पुं;8;एक}	सम्बोध्यः,18.1	सम्बोध्यः,18.1	N8	हे_अर्जुन	O_son_of_Prtha	-	-
21.1	मयि	16	मय्यावेशितचेतसाम्	अस्मद्{सर्व;अ;7;एक}	अस्मद्{सर्व;अ;7;एक}	अधिकरणम्,22.2	अधिकरणम्,22.2	N7	मुझमें	unto_Me	-	-
22.1	आवेशित-	17		आवेशित-	आवेशित	बहुव्रीहिः,22.2	बहुव्रीहिः,22.2	CP	चित्त_लगानेवाले_प्रेमी_भक्तों_का	of_those_minds_are_fixed	<आवेशित-चेतसाम्>Bs3	-
22.2	चेतसाम्	-		चेतस्{नपुं;6;बहु}	चेतस्{नपुं;6;बहु}	षष्ठीसम्बन्धः,16.1	षष्ठीसम्बन्धः,16.1	N6				-
